images,pilltype_id,label_code_id,prod_code_id,is_ref,is_front,is_new,image_path,label
0.jpg,51285-0092-87_BE305F72,51285,92,False,False,False,fcn_mix_weight/dc_224/0.jpg,51285-0092-87_BE305F72
10.jpg,00093-0148-01_4629A34D,93,148,False,False,False,fcn_mix_weight/dc_224/10.jpg,00093-0148-01_4629A34D
100.jpg,00093-7248-06_7829BC3D,93,7248,False,True,False,fcn_mix_weight/dc_224/100.jpg,00093-7248-06_7829BC3D
1003.jpg,00093-0928-06_6926B4E5,93,928,False,False,False,fcn_mix_weight/dc_224/1003.jpg,00093-0928-06_6926B4E5
1004.jpg,50111-0459-01_1C300E70,50111,459,False,True,False,fcn_mix_weight/dc_224/1004.jpg,50111-0459-01_1C300E70
1005.jpg,16252-0590-99_2B2015D0,16252,590,False,False,False,fcn_mix_weight/dc_224/1005.jpg,16252-0590-99_2B2015D0
1006.jpg,00093-7220-06_692934D9,93,7220,False,True,False,fcn_mix_weight/dc_224/1006.jpg,00093-7220-06_692934D9
1007.jpg,47335-0894-81_7F1DBFBD,47335,894,False,True,False,fcn_mix_weight/dc_224/1007.jpg,47335-0894-81_7F1DBFBD
1008.jpg,00093-5256-68_8727C3AE,93,5256,False,False,False,fcn_mix_weight/dc_224/1008.jpg,00093-5256-68_8727C3AE
1009.jpg,00093-7188-56_0323818C,93,7188,False,False,False,fcn_mix_weight/dc_224/1009.jpg,00093-7188-56_0323818C
1010.jpg,15456-0980-04_9418CA26,15456,980,False,True,False,fcn_mix_weight/dc_224/1010.jpg,15456-0980-04_9418CA26
1011.jpg,00555-0572-35_1B2B8DCC,555,572,False,False,False,fcn_mix_weight/dc_224/1011.jpg,00555-0572-35_1B2B8DCC
1012.jpg,60505-2671-09_AB1DD5AE,60505,2671,False,True,False,fcn_mix_weight/dc_224/1012.jpg,60505-2671-09_AB1DD5AE
1013.jpg,00093-0028-01_6A29B54D,93,28,False,False,False,fcn_mix_weight/dc_224/1013.jpg,00093-0028-01_6A29B54D
1016.jpg,00093-0892-01_A32B519A,93,892,False,False,False,fcn_mix_weight/dc_224/1016.jpg,00093-0892-01_A32B519A
1017.jpg,00172-5413-46_E923F4AF,172,5413,False,False,False,fcn_mix_weight/dc_224/1017.jpg,00172-5413-46_E923F4AF
1018.jpg,41616-0759-83_671DB3BD,41616,759,False,False,False,fcn_mix_weight/dc_224/1018.jpg,41616-0759-83_671DB3BD
1019.jpg,00378-3632-01_4B242591,378,3632,False,True,False,fcn_mix_weight/dc_224/1019.jpg,00378-3632-01_4B242591
1020.jpg,41616-0636-83_1A240D60,41616,636,False,False,False,fcn_mix_weight/dc_224/1020.jpg,41616-0636-83_1A240D60
1021.jpg,64679-0936-03_7E05BF4D,64679,936,False,False,False,fcn_mix_weight/dc_224/1021.jpg,64679-0936-03_7E05BF4D
1023.jpg,00781-5191-01_CD20E6B7,781,5191,False,True,False,fcn_mix_weight/dc_224/1023.jpg,00781-5191-01_CD20E6B7
1024.jpg,59762-5024-01_4D26A6A5,59762,5024,False,False,False,fcn_mix_weight/dc_224/1024.jpg,59762-5024-01_4D26A6A5
1025.jpg,00603-6147-21_212190CC,603,6147,False,False,False,fcn_mix_weight/dc_224/1025.jpg,00603-6147-21_212190CC
1026.jpg,00143-9919-01_02230118,143,9919,False,False,False,fcn_mix_weight/dc_224/1026.jpg,00143-9919-01_02230118
1029.jpg,50458-0579-30_8F1DC7FE,50458,579,False,True,False,fcn_mix_weight/dc_224/1029.jpg,50458-0579-30_8F1DC7FE
103.jpg,16110-0075-01_D21FE93F,16110,75,False,False,False,fcn_mix_weight/dc_224/103.jpg,16110-0075-01_D21FE93F
1030.jpg,00093-7168-98_4229A13D,93,7168,False,False,False,fcn_mix_weight/dc_224/1030.jpg,00093-7168-98_4229A13D
1031.jpg,00555-0633-02_72303931,555,633,False,True,False,fcn_mix_weight/dc_224/1031.jpg,00555-0633-02_72303931
1033.jpg,63304-0553-05_D015681B,63304,553,False,False,False,fcn_mix_weight/dc_224/1033.jpg,63304-0553-05_D015681B
1036.jpg,00172-4096-60_B726DBE6,172,4096,False,True,False,fcn_mix_weight/dc_224/1036.jpg,00172-4096-60_B726DBE6
1038.jpg,00093-0928-06_6926B4E5,93,928,False,False,False,fcn_mix_weight/dc_224/1038.jpg,00093-0928-06_6926B4E5
1039.jpg,00093-4069-01_E126F0B7,93,4069,False,True,False,fcn_mix_weight/dc_224/1039.jpg,00093-4069-01_E126F0B7
104.jpg,25010-0205-15_E61FF35F,25010,205,False,True,False,fcn_mix_weight/dc_224/104.jpg,25010-0205-15_E61FF35F
1040.jpg,00781-1452-01_D720EBF7,781,1452,False,False,False,fcn_mix_weight/dc_224/1040.jpg,00781-1452-01_D720EBF7
1041.jpg,00781-5185-01_8323C1DE,781,5185,False,True,False,fcn_mix_weight/dc_224/1041.jpg,00781-5185-01_8323C1DE
