images,pilltype_id,label_code_id,prod_code_id,is_ref,is_front,is_new,image_path,label
1003.jpg,00093-0928-06_6926B4E5,93,928,False,False,False,fcn_mix_weight/dc_224/1003.jpg,00093-0928-06_6926B4E5
1006.jpg,00093-7220-06_692934D9,93,7220,False,True,False,fcn_mix_weight/dc_224/1006.jpg,00093-7220-06_692934D9
1008.jpg,00093-5256-68_8727C3AE,93,5256,False,False,False,fcn_mix_weight/dc_224/1008.jpg,00093-5256-68_8727C3AE
1023.jpg,00781-5191-01_CD20E6B7,781,5191,False,True,False,fcn_mix_weight/dc_224/1023.jpg,00781-5191-01_CD20E6B7
1024.jpg,59762-5024-01_4D26A6A5,59762,5024,False,False,False,fcn_mix_weight/dc_224/1024.jpg,59762-5024-01_4D26A6A5
1026.jpg,00143-9919-01_02230118,143,9919,False,False,False,fcn_mix_weight/dc_224/1026.jpg,00143-9919-01_02230118
1029.jpg,50458-0579-30_8F1DC7FE,50458,579,False,True,False,fcn_mix_weight/dc_224/1029.jpg,50458-0579-30_8F1DC7FE
1038.jpg,00093-0928-06_6926B4E5,93,928,False,False,False,fcn_mix_weight/dc_224/1038.jpg,00093-0928-06_6926B4E5
105.jpg,00093-7425-56_D727EBFF,93,7425,False,True,False,fcn_mix_weight/dc_224/105.jpg,00093-7425-56_D727EBFF
1055.jpg,65862-0156-30_1E238F6C,65862,156,False,True,False,fcn_mix_weight/dc_224/1055.jpg,65862-0156-30_1E238F6C
1057.jpg,00093-1015-01_A929D4FE,93,1015,False,False,False,fcn_mix_weight/dc_224/1057.jpg,00093-1015-01_A929D4FE
1058.jpg,00093-7287-89_D22FE95F,93,7287,False,False,False,fcn_mix_weight/dc_224/1058.jpg,00093-7287-89_D22FE95F
1073.jpg,00093-5290-56_21281080,93,5290,False,False,False,fcn_mix_weight/dc_224/1073.jpg,00093-5290-56_21281080
1076.jpg,62037-0577-01_10210878,62037,577,False,False,False,fcn_mix_weight/dc_224/1076.jpg,62037-0577-01_10210878
1084.jpg,00093-2932-01_DA296D4B,93,2932,False,True,False,fcn_mix_weight/dc_224/1084.jpg,00093-2932-01_DA296D4B
1085.jpg,59762-2003-01_EC1DF61F,59762,2003,False,True,False,fcn_mix_weight/dc_224/1085.jpg,59762-2003-01_EC1DF61F
